date,channel,ad_spend_usd,leads,qualified_leads,client_meetings,deals_closed
2026-01-13,Google Ads,187.84,16,8,1,1
2026-01-13,Meta Ads,105.7,6,2,1,1
2026-01-13,Referral,0.0,4,2,0,0
2026-01-13,Organic / SEO,0.0,3,0,0,0
2026-01-14,LinkedIn Ads,307.52,8,3,1,0
2026-01-14,Google Ads,268.14,14,5,3,1
2026-01-14,Meta Ads,172.35,12,5,3,1
2026-01-14,Referral,0.0,5,1,0,0
2026-01-14,Organic / SEO,0.0,5,3,2,2
2026-01-15,LinkedIn Ads,183.91,6,2,1,1
2026-01-15,Google Ads,204.04,9,3,2,2
2026-01-15,Meta Ads,114.21,9,4,1,0
2026-01-15,Referral,0.0,4,1,0,0
2026-01-15,Organic / SEO,0.0,4,2,0,0
2026-01-16,LinkedIn Ads,251.54,9,5,4,1
2026-01-16,Google Ads,207.68,13,6,1,0
2026-01-16,Meta Ads,110.19,5,2,1,1
2026-01-16,Referral,0.0,2,2,1,0
2026-01-16,Organic / SEO,0.0,3,1,0,0
2026-01-17,LinkedIn Ads,124.92,6,2,0,0
2026-01-17,Google Ads,153.93,10,3,2,0
2026-01-17,Meta Ads,101.18,4,3,0,0
2026-01-17,Referral,0.0,1,1,1,0
2026-01-17,Organic / SEO,0.0,1,0,0,0
2026-01-18,LinkedIn Ads,118.46,7,1,0,0
2026-01-18,Google Ads,118.72,4,1,1,0
2026-01-18,Meta Ads,95.64,2,0,0,0
2026-01-18,Referral,0.0,2,1,1,0
2026-01-18,Organic / SEO,0.0,1,1,0,0
2026-01-19,LinkedIn Ads,270.22,12,3,2,1
2026-01-19,Google Ads,232.7,20,9,4,1
2026-01-19,Meta Ads,98.78,6,1,1,1
2026-01-19,Referral,0.0,1,0,0,0
2026-01-19,Organic / SEO,0.0,2,1,1,0
2026-01-20,LinkedIn Ads,318.17,10,0,0,0
2026-01-20,Google Ads,199.2,8,1,1,1
2026-01-20,Meta Ads,148.37,8,1,0,0
2026-01-20,Referral,0.0,3,0,0,0
2026-01-20,Organic / SEO,0.0,3,1,1,0
2026-01-21,LinkedIn Ads,310.41,13,4,1,1
2026-01-21,Google Ads,208.02,9,4,3,0
2026-01-21,Meta Ads,163.77,7,1,0,0
2026-01-21,Referral,0.0,3,1,1,0
2026-01-21,Organic / SEO,0.0,8,7,4,1
2026-01-22,LinkedIn Ads,287.98,16,8,3,2
2026-01-22,Google Ads,275.64,8,2,1,0
2026-01-22,Meta Ads,133.1,7,0,0,0
2026-01-22,Referral,0.0,3,1,0,0
2026-01-22,Organic / SEO,0.0,4,0,0,0
2026-01-23,LinkedIn Ads,279.34,13,3,1,0
2026-01-23,Google Ads,171.87,8,3,2,1
2026-01-23,Meta Ads,165.68,7,0,0,0
2026-01-23,Referral,0.0,3,2,2,0
2026-01-23,Organic / SEO,0.0,6,2,0,0
2026-01-24,LinkedIn Ads,144.43,7,2,1,0
2026-01-24,Google Ads,131.35,4,0,0,0
2026-01-24,Meta Ads,62.19,4,1,1,0
2026-01-24,Referral,0.0,0,0,0,0
2026-01-24,Organic / SEO,0.0,3,2,1,0
2026-01-25,LinkedIn Ads,150.52,5,2,1,0
2026-01-25,Google Ads,112.88,8,1,1,0
2026-01-25,Meta Ads,69.65,4,3,1,0
2026-01-25,Referral,0.0,2,2,1,1
2026-01-25,Organic / SEO,0.0,2,1,1,0
2026-01-26,LinkedIn Ads,217.72,16,6,4,2
2026-01-26,Google Ads,199.22,9,2,2,2
2026-01-26,Meta Ads,124.98,11,2,1,0
2026-01-26,Referral,0.0,3,1,0,0
2026-01-26,Organic / SEO,0.0,4,2,0,0
2026-01-27,LinkedIn Ads,293.96,10,5,3,0
2026-01-27,Google Ads,167.74,15,1,0,0
2026-01-27,Meta Ads,148.09,14,6,2,1
2026-01-27,Referral,0.0,5,1,0,0
2026-01-27,Organic / SEO,0.0,6,4,3,1
2026-01-28,LinkedIn Ads,305.79,12,6,3,3
2026-01-28,Google Ads,201.29,19,4,3,1
2026-01-28,Meta Ads,137.26,14,5,1,1
2026-01-28,Referral,0.0,5,4,4,0
2026-01-28,Organic / SEO,0.0,3,1,0,0
2026-01-29,LinkedIn Ads,222.6,10,5,2,1
2026-01-29,Google Ads,236.96,18,3,1,1
2026-01-29,Meta Ads,150.12,10,3,1,0
2026-01-29,Referral,0.0,1,0,0,0
2026-01-29,Organic / SEO,0.0,5,2,1,0
2026-01-30,LinkedIn Ads,188.51,9,1,1,1
2026-01-30,Google Ads,173.93,10,3,3,1
2026-01-30,Meta Ads,193.63,9,3,2,0
2026-01-30,Referral,0.0,4,1,1,0
2026-01-30,Organic / SEO,0.0,4,1,0,0
2026-01-31,LinkedIn Ads,173.56,3,0,0,0
2026-01-31,Google Ads,110.07,9,3,2,1
2026-01-31,Meta Ads,65.98,3,1,0,0
2026-01-31,Referral,0.0,1,1,1,1
2026-01-31,Organic / SEO,0.0,3,3,1,0
2026-02-01,LinkedIn Ads,119.53,3,1,0,0
2026-02-01,Google Ads,149.55,9,3,0,0
2026-02-01,Meta Ads,59.61,3,0,0,0
2026-02-01,Referral,0.0,1,0,0,0
2026-02-01,Organic / SEO,0.0,3,1,0,0
2026-02-02,LinkedIn Ads,194.39,10,5,0,0
2026-02-02,Google Ads,278.8,11,3,1,0
2026-02-02,Meta Ads,123.17,9,3,1,0
2026-02-02,Referral,0.0,4,2,2,1
2026-02-02,Organic / SEO,0.0,5,3,1,0
2026-02-03,LinkedIn Ads,249.59,14,5,3,1
2026-02-03,Google Ads,209.85,16,5,4,2
2026-02-03,Meta Ads,171.79,13,5,0,0
2026-02-03,Referral,0.0,5,4,2,1
2026-02-03,Organic / SEO,0.0,6,2,2,0
2026-02-04,LinkedIn Ads,217.79,7,4,1,0
2026-02-04,Google Ads,154.21,12,5,4,0
2026-02-04,Meta Ads,175.26,5,1,1,0
2026-02-04,Referral,0.0,1,0,0,0
2026-02-04,Organic / SEO,0.0,3,0,0,0
2026-02-05,LinkedIn Ads,202.55,14,1,0,0
2026-02-05,Google Ads,159.75,10,3,2,1
2026-02-05,Meta Ads,128.87,6,3,2,1
2026-02-05,Referral,0.0,4,2,0,0
2026-02-05,Organic / SEO,0.0,2,0,0,0
2026-02-06,LinkedIn Ads,216.8,16,5,3,0
2026-02-06,Google Ads,202.2,9,4,2,0
2026-02-06,Meta Ads,129.76,11,8,4,2
2026-02-06,Referral,0.0,4,1,1,0
2026-02-06,Organic / SEO,0.0,2,0,0,0
2026-02-07,LinkedIn Ads,124.68,8,2,0,0
2026-02-07,Google Ads,128.96,6,2,1,0
2026-02-07,Meta Ads,117.98,3,2,0,0
2026-02-07,Referral,0.0,1,1,0,0
2026-02-07,Organic / SEO,0.0,3,2,2,1
2026-02-08,LinkedIn Ads,149.93,6,0,0,0
2026-02-08,Google Ads,162.26,7,1,0,0
2026-02-08,Meta Ads,72.7,7,4,1,0
2026-02-08,Referral,0.0,2,1,1,0
2026-02-08,Organic / SEO,0.0,2,1,0,0
2026-02-09,LinkedIn Ads,313.08,11,3,1,0
2026-02-09,Google Ads,181.4,14,4,1,0
2026-02-09,Meta Ads,170.09,11,2,0,0
2026-02-09,Referral,0.0,1,1,1,0
2026-02-09,Organic / SEO,0.0,6,3,1,1
2026-02-10,LinkedIn Ads,305.71,10,6,3,3
2026-02-10,Google Ads,259.8,11,4,3,1
2026-02-10,Meta Ads,199.31,12,4,3,2
2026-02-10,Referral,0.0,1,1,0,0
2026-02-10,Organic / SEO,0.0,7,3,1,0
2026-02-11,LinkedIn Ads,262.26,8,0,0,0
2026-02-11,Google Ads,228.95,14,2,1,0
2026-02-11,Meta Ads,110.45,8,5,1,0
2026-02-11,Referral,0.0,1,0,0,0
2026-02-11,Organic / SEO,0.0,8,5,1,1
2026-02-12,LinkedIn Ads,225.76,12,6,4,1
2026-02-12,Google Ads,214.2,8,1,1,1
2026-02-12,Meta Ads,91.14,6,2,0,0
2026-02-12,Referral,0.0,1,0,0,0
2026-02-12,Organic / SEO,0.0,4,3,1,0
2026-02-13,LinkedIn Ads,277.81,8,3,1,0
2026-02-13,Google Ads,213.71,12,7,5,1
2026-02-13,Meta Ads,124.3,12,4,1,0
2026-02-13,Referral,0.0,1,1,0,0
2026-02-13,Organic / SEO,0.0,2,0,0,0
2026-02-14,LinkedIn Ads,137.56,3,1,1,0
2026-02-14,Google Ads,129.62,4,1,0,0
2026-02-14,Meta Ads,66.8,4,0,0,0
2026-02-14,Referral,0.0,0,0,0,0
2026-02-14,Organic / SEO,0.0,1,1,1,1
2026-02-15,LinkedIn Ads,130.36,3,1,0,0
2026-02-15,Google Ads,121.55,7,3,1,1
2026-02-15,Meta Ads,87.22,7,5,3,3
2026-02-15,Referral,0.0,0,0,0,0
2026-02-15,Organic / SEO,0.0,2,0,0,0
2026-02-16,LinkedIn Ads,214.65,7,4,2,0
2026-02-16,Google Ads,220.94,18,4,1,0
2026-02-16,Meta Ads,171.88,8,2,1,0
2026-02-16,Referral,0.0,3,2,2,0
2026-02-16,Organic / SEO,0.0,5,2,1,1
2026-02-17,LinkedIn Ads,275.33,14,7,4,3
2026-02-17,Google Ads,175.57,17,5,4,2
2026-02-17,Meta Ads,176.06,11,1,1,0
2026-02-17,Referral,0.0,2,1,1,0
2026-02-17,Organic / SEO,0.0,6,2,0,0
2026-02-18,LinkedIn Ads,252.52,6,3,0,0
2026-02-18,Google Ads,165.79,17,8,4,2
2026-02-18,Meta Ads,180.23,13,7,5,2
2026-02-18,Referral,0.0,4,2,1,0
2026-02-18,Organic / SEO,0.0,5,2,1,0
2026-02-19,LinkedIn Ads,253.51,14,3,0,0
2026-02-19,Google Ads,270.56,20,7,3,1
2026-02-19,Meta Ads,131.18,5,1,0,0
2026-02-19,Referral,0.0,3,1,0,0
2026-02-19,Organic / SEO,0.0,6,2,0,0
2026-02-20,LinkedIn Ads,230.34,12,2,0,0
2026-02-20,Google Ads,254.21,15,7,2,0
2026-02-20,Meta Ads,96.23,6,1,1,0
2026-02-20,Referral,0.0,2,0,0,0
2026-02-20,Organic / SEO,0.0,7,1,0,0
2026-02-21,LinkedIn Ads,137.05,3,0,0,0
2026-02-21,Google Ads,96.29,8,3,1,0
2026-02-21,Meta Ads,55.74,4,0,0,0
2026-02-21,Referral,0.0,0,0,0,0
2026-02-21,Organic / SEO,0.0,2,1,0,0
2026-02-22,LinkedIn Ads,119.57,6,1,1,1
2026-02-22,Google Ads,90.79,7,1,0,0
2026-02-22,Meta Ads,59.06,3,2,0,0
2026-02-22,Referral,0.0,1,0,0,0
2026-02-22,Organic / SEO,0.0,1,0,0,0
2026-02-23,LinkedIn Ads,190.69,14,4,3,1
2026-02-23,Google Ads,259.39,16,6,3,3
2026-02-23,Meta Ads,137.42,5,1,0,0
2026-02-23,Referral,0.0,3,0,0,0
2026-02-23,Organic / SEO,0.0,8,0,0,0
2026-02-24,LinkedIn Ads,310.55,10,1,1,1
2026-02-24,Google Ads,253.95,12,3,2,1
2026-02-24,Meta Ads,138.39,12,3,1,1
2026-02-24,Referral,0.0,5,2,1,0
2026-02-24,Organic / SEO,0.0,7,2,2,1
2026-02-25,LinkedIn Ads,190.84,9,3,2,0
2026-02-25,Google Ads,230.85,10,5,1,1
2026-02-25,Meta Ads,173.89,6,0,0,0
2026-02-25,Referral,0.0,5,1,0,0
2026-02-25,Organic / SEO,0.0,4,2,0,0
2026-02-26,LinkedIn Ads,212.32,11,2,1,0
2026-02-26,Google Ads,257.48,10,2,1,0
2026-02-26,Meta Ads,186.96,8,3,2,0
2026-02-26,Referral,0.0,5,2,1,0
2026-02-26,Organic / SEO,0.0,6,2,0,0
2026-02-27,LinkedIn Ads,283.7,12,4,1,0
2026-02-27,Google Ads,162.6,12,3,0,0
2026-02-27,Meta Ads,120.61,14,10,3,1
2026-02-27,Referral,0.0,4,2,0,0
2026-02-27,Organic / SEO,0.0,5,3,0,0
2026-02-28,LinkedIn Ads,126.68,3,2,0,0
2026-02-28,Google Ads,150.61,9,3,0,0
2026-02-28,Meta Ads,70.23,7,2,2,0
2026-02-28,Referral,0.0,1,1,1,0
2026-02-28,Organic / SEO,0.0,1,1,0,0
2026-03-01,LinkedIn Ads,159.52,8,4,2,1
2026-03-01,Google Ads,98.77,10,2,1,0
2026-03-01,Meta Ads,111.02,7,3,2,0
2026-03-01,Referral,0.0,0,0,0,0
2026-03-01,Organic / SEO,0.0,3,2,1,0
2026-03-02,LinkedIn Ads,255.04,16,6,3,0
2026-03-02,Google Ads,182.33,8,5,4,1
2026-03-02,Meta Ads,119.7,6,2,0,0
2026-03-02,Referral,0.0,5,3,2,2
2026-03-02,Organic / SEO,0.0,5,5,2,0
2026-03-03,LinkedIn Ads,286.78,7,2,2,1
2026-03-03,Google Ads,222.92,11,4,4,1
2026-03-03,Meta Ads,173.05,12,4,2,0
2026-03-03,Referral,0.0,4,1,0,0
2026-03-03,Organic / SEO,0.0,2,2,1,0
2026-03-04,LinkedIn Ads,253.15,15,3,1,0
2026-03-04,Google Ads,173.3,15,6,2,1
2026-03-04,Meta Ads,149.51,8,5,2,0
2026-03-04,Referral,0.0,4,4,1,1
2026-03-04,Organic / SEO,0.0,2,1,0,0
2026-03-05,LinkedIn Ads,246.04,10,2,0,0
2026-03-05,Google Ads,272.91,12,1,0,0
2026-03-05,Meta Ads,170.13,8,2,2,0
2026-03-05,Referral,0.0,3,2,0,0
2026-03-05,Organic / SEO,0.0,7,3,1,0
2026-03-06,LinkedIn Ads,270.66,14,7,2,0
2026-03-06,Google Ads,267.74,17,7,2,1
2026-03-06,Meta Ads,99.7,6,5,1,0
2026-03-06,Referral,0.0,2,0,0,0
2026-03-06,Organic / SEO,0.0,5,4,3,1
2026-03-07,LinkedIn Ads,156.61,5,1,0,0
2026-03-07,Google Ads,135.65,5,1,0,0
2026-03-07,Meta Ads,67.69,6,3,1,0
2026-03-07,Referral,0.0,2,1,1,0
2026-03-07,Organic / SEO,0.0,3,2,1,0
2026-03-08,LinkedIn Ads,183.85,4,2,1,0
2026-03-08,Google Ads,134.93,7,1,1,0
2026-03-08,Meta Ads,69.46,6,3,2,0
2026-03-08,Referral,0.0,2,1,1,0
2026-03-08,Organic / SEO,0.0,2,1,1,0
2026-03-09,LinkedIn Ads,244.48,16,7,2,1
2026-03-09,Google Ads,250.52,12,2,1,0
2026-03-09,Meta Ads,172.69,6,3,1,0
2026-03-09,Referral,0.0,1,1,0,0
2026-03-09,Organic / SEO,0.0,5,1,1,0
2026-03-10,LinkedIn Ads,292.5,6,3,1,0
2026-03-10,Google Ads,246.47,9,0,0,0
2026-03-10,Meta Ads,197.88,13,4,1,0
2026-03-10,Referral,0.0,3,2,2,1
2026-03-10,Organic / SEO,0.0,2,2,1,1
2026-03-11,LinkedIn Ads,193.24,8,2,0,0
2026-03-11,Google Ads,209.59,9,3,2,1
2026-03-11,Meta Ads,169.38,6,4,1,0
2026-03-11,Referral,0.0,4,2,2,2
2026-03-11,Organic / SEO,0.0,3,3,1,0
2026-03-12,LinkedIn Ads,210.99,6,1,0,0
2026-03-12,Google Ads,227.38,16,4,2,1
2026-03-12,Meta Ads,124.69,12,4,2,1
2026-03-12,Referral,0.0,2,0,0,0
2026-03-12,Organic / SEO,0.0,5,3,0,0
2026-03-13,LinkedIn Ads,276.16,16,4,1,0
2026-03-13,Google Ads,232.73,17,5,2,0
2026-03-13,Meta Ads,111.98,7,3,0,0
2026-03-13,Referral,0.0,5,1,1,0
2026-03-13,Organic / SEO,0.0,5,2,1,1
2026-03-14,LinkedIn Ads,173.23,8,1,1,0
2026-03-14,Google Ads,162.34,9,5,3,2
2026-03-14,Meta Ads,113.35,6,0,0,0
2026-03-14,Referral,0.0,1,0,0,0
2026-03-14,Organic / SEO,0.0,1,0,0,0
2026-03-15,LinkedIn Ads,110.18,5,1,1,0
2026-03-15,Google Ads,142.52,5,2,1,1
2026-03-15,Meta Ads,74.0,7,1,0,0
2026-03-15,Referral,0.0,2,1,1,0
2026-03-15,Organic / SEO,0.0,1,0,0,0
2026-03-16,LinkedIn Ads,247.49,13,4,0,0
2026-03-16,Google Ads,218.14,11,3,0,0
2026-03-16,Meta Ads,116.92,7,2,1,1
2026-03-16,Referral,0.0,1,0,0,0
2026-03-16,Organic / SEO,0.0,4,2,0,0
2026-03-17,LinkedIn Ads,289.4,11,4,0,0
2026-03-17,Google Ads,226.56,18,6,2,1
2026-03-17,Meta Ads,123.51,12,5,4,2
2026-03-17,Referral,0.0,4,1,0,0
2026-03-17,Organic / SEO,0.0,8,4,2,0
2026-03-18,LinkedIn Ads,199.59,13,7,3,1
2026-03-18,Google Ads,235.72,19,5,1,0
2026-03-18,Meta Ads,151.23,9,1,0,0
2026-03-18,Referral,0.0,3,1,0,0
2026-03-18,Organic / SEO,0.0,4,1,0,0
2026-03-19,LinkedIn Ads,292.85,6,1,0,0
2026-03-19,Google Ads,263.5,13,1,0,0
2026-03-19,Meta Ads,199.22,6,1,0,0
2026-03-19,Referral,0.0,5,2,1,1
2026-03-19,Organic / SEO,0.0,2,2,1,0
2026-03-20,LinkedIn Ads,287.49,14,4,1,0
2026-03-20,Google Ads,179.91,11,5,3,1
2026-03-20,Meta Ads,154.92,6,3,1,0
2026-03-20,Referral,0.0,2,2,0,0
2026-03-20,Organic / SEO,0.0,5,4,3,1
2026-03-21,LinkedIn Ads,162.64,6,2,1,1
2026-03-21,Google Ads,130.45,5,1,0,0
2026-03-21,Meta Ads,78.53,5,2,0,0
2026-03-21,Referral,0.0,0,0,0,0
2026-03-21,Organic / SEO,0.0,1,0,0,0
2026-03-22,LinkedIn Ads,133.71,8,3,2,0
2026-03-22,Google Ads,103.24,4,2,1,0
2026-03-22,Meta Ads,110.51,6,1,1,0
2026-03-22,Referral,0.0,2,1,0,0
2026-03-22,Organic / SEO,0.0,3,3,2,1
2026-03-23,LinkedIn Ads,304.17,7,3,1,0
2026-03-23,Google Ads,192.63,13,7,2,1
2026-03-23,Meta Ads,158.34,13,2,1,0
2026-03-23,Referral,0.0,1,0,0,0
2026-03-23,Organic / SEO,0.0,3,1,0,0
2026-03-24,LinkedIn Ads,197.68,11,3,2,0
2026-03-24,Google Ads,169.73,16,4,1,1
2026-03-24,Meta Ads,189.11,11,4,3,0
2026-03-24,Referral,0.0,2,1,1,0
2026-03-24,Organic / SEO,0.0,4,2,1,1
2026-03-25,LinkedIn Ads,218.57,11,6,3,1
2026-03-25,Google Ads,210.65,17,6,1,0
2026-03-25,Meta Ads,117.64,10,4,1,0
2026-03-25,Referral,0.0,5,3,1,0
2026-03-25,Organic / SEO,0.0,8,2,0,0
2026-03-26,LinkedIn Ads,288.87,16,6,2,0
2026-03-26,Google Ads,246.29,20,5,1,1
2026-03-26,Meta Ads,154.0,13,3,1,1
2026-03-26,Referral,0.0,3,1,1,0
2026-03-26,Organic / SEO,0.0,3,1,0,0
2026-03-27,LinkedIn Ads,317.66,9,2,0,0
2026-03-27,Google Ads,174.99,10,1,1,0
2026-03-27,Meta Ads,193.06,10,3,0,0
2026-03-27,Referral,0.0,5,2,2,0
2026-03-27,Organic / SEO,0.0,6,3,2,1
2026-03-28,LinkedIn Ads,168.38,7,3,2,0
2026-03-28,Google Ads,108.14,10,3,1,0
2026-03-28,Meta Ads,102.2,4,2,1,0
2026-03-28,Referral,0.0,0,0,0,0
2026-03-28,Organic / SEO,0.0,2,0,0,0
2026-03-29,LinkedIn Ads,140.54,6,3,2,2
2026-03-29,Google Ads,117.4,9,2,1,0
2026-03-29,Meta Ads,54.31,5,2,1,0
2026-03-29,Referral,0.0,1,1,0,0
2026-03-29,Organic / SEO,0.0,2,0,0,0
2026-03-30,LinkedIn Ads,278.89,8,1,0,0
2026-03-30,Google Ads,271.55,9,1,0,0
2026-03-30,Meta Ads,150.28,11,5,0,0
2026-03-30,Referral,0.0,5,1,0,0
2026-03-30,Organic / SEO,0.0,7,6,4,0
2026-03-31,LinkedIn Ads,253.86,6,3,3,0
2026-03-31,Google Ads,219.91,18,7,2,0
2026-03-31,Meta Ads,130.9,11,4,2,1
2026-03-31,Referral,0.0,4,3,1,1
2026-03-31,Organic / SEO,0.0,3,1,1,0
2026-04-01,LinkedIn Ads,215.91,16,7,5,0
2026-04-01,Google Ads,215.47,11,6,3,1
2026-04-01,Meta Ads,182.78,14,5,2,2
2026-04-01,Referral,0.0,5,1,1,0
2026-04-01,Organic / SEO,0.0,7,2,0,0
2026-04-02,LinkedIn Ads,211.34,10,3,1,0
2026-04-02,Google Ads,259.22,13,3,0,0
2026-04-02,Meta Ads,176.25,10,4,1,1
2026-04-02,Referral,0.0,2,0,0,0
2026-04-02,Organic / SEO,0.0,5,3,0,0
2026-04-03,LinkedIn Ads,260.51,9,3,2,2
2026-04-03,Google Ads,269.62,8,3,1,0
2026-04-03,Meta Ads,127.25,7,3,1,0
2026-04-03,Referral,0.0,2,0,0,0
2026-04-03,Organic / SEO,0.0,5,2,0,0
2026-04-04,LinkedIn Ads,190.97,5,1,0,0
2026-04-04,Google Ads,134.21,6,3,1,0
2026-04-04,Meta Ads,117.46,5,1,0,0
2026-04-04,Referral,0.0,2,2,1,1
2026-04-04,Organic / SEO,0.0,1,0,0,0
2026-04-05,LinkedIn Ads,184.09,3,1,0,0
2026-04-05,Google Ads,116.33,6,2,0,0
2026-04-05,Meta Ads,102.49,2,2,1,0
2026-04-05,Referral,0.0,2,1,0,0
2026-04-05,Organic / SEO,0.0,2,1,1,1
2026-04-06,LinkedIn Ads,207.01,10,4,4,1
2026-04-06,Google Ads,151.75,20,6,2,0
2026-04-06,Meta Ads,141.61,14,9,2,0
2026-04-06,Referral,0.0,3,3,1,0
2026-04-06,Organic / SEO,0.0,7,2,1,0
2026-04-07,LinkedIn Ads,189.22,10,3,2,0
2026-04-07,Google Ads,253.51,14,5,3,1
2026-04-07,Meta Ads,92.38,11,3,2,0
2026-04-07,Referral,0.0,5,3,1,0
2026-04-07,Organic / SEO,0.0,3,2,1,0
2026-04-08,LinkedIn Ads,246.29,6,3,1,0
2026-04-08,Google Ads,222.15,17,3,1,0
2026-04-08,Meta Ads,194.19,9,3,2,0
2026-04-08,Referral,0.0,4,0,0,0
2026-04-08,Organic / SEO,0.0,6,2,2,0
2026-04-09,LinkedIn Ads,221.74,9,4,1,1
2026-04-09,Google Ads,185.87,19,10,4,1
2026-04-09,Meta Ads,98.93,10,1,1,0
2026-04-09,Referral,0.0,2,1,1,0
2026-04-09,Organic / SEO,0.0,5,4,1,1
2026-04-10,LinkedIn Ads,287.18,13,6,4,0
2026-04-10,Google Ads,183.32,11,7,1,0
2026-04-10,Meta Ads,187.53,9,4,2,0
2026-04-10,Referral,0.0,2,0,0,0
2026-04-10,Organic / SEO,0.0,8,1,0,0
2026-04-11,LinkedIn Ads,186.13,5,1,0,0
2026-04-11,Google Ads,165.73,9,4,1,0
2026-04-11,Meta Ads,99.0,2,0,0,0
2026-04-11,Referral,0.0,0,0,0,0
2026-04-11,Organic / SEO,0.0,1,0,0,0
2026-04-12,LinkedIn Ads,182.46,7,4,2,2
2026-04-12,Google Ads,160.0,9,5,2,0
2026-04-12,Meta Ads,116.84,6,2,0,0
2026-04-12,Referral,0.0,1,0,0,0
2026-04-12,Organic / SEO,0.0,2,1,1,0
2026-04-13,LinkedIn Ads,245.45,11,4,0,0
2026-04-13,Google Ads,265.67,13,4,3,2
2026-04-13,Meta Ads,163.11,7,1,0,0
2026-04-13,Referral,0.0,4,3,1,0
2026-04-13,Organic / SEO,0.0,3,0,0,0
2026-04-14,LinkedIn Ads,291.99,13,8,4,1
2026-04-14,Google Ads,226.66,15,1,0,0
2026-04-14,Meta Ads,199.41,11,2,1,1
2026-04-14,Referral,0.0,4,4,0,0
2026-04-14,Organic / SEO,0.0,5,1,1,1
2026-04-15,LinkedIn Ads,252.34,8,5,2,0
2026-04-15,Google Ads,155.7,10,4,1,0
2026-04-15,Meta Ads,137.3,13,3,2,2
2026-04-15,Referral,0.0,2,1,1,1
2026-04-15,Organic / SEO,0.0,8,5,3,0
2026-04-16,LinkedIn Ads,224.73,9,2,1,1
2026-04-16,Google Ads,216.28,20,6,1,0
2026-04-16,Meta Ads,107.3,14,4,1,0
2026-04-16,Referral,0.0,4,1,0,0
2026-04-16,Organic / SEO,0.0,7,2,1,0
2026-04-17,LinkedIn Ads,302.47,15,3,2,0
2026-04-17,Google Ads,220.56,13,4,1,0
2026-04-17,Meta Ads,118.02,6,3,0,0
2026-04-17,Referral,0.0,5,2,0,0
2026-04-17,Organic / SEO,0.0,5,4,2,1
