vacancy_id,client_name,role_title,department,recruiter_id,opened_date,filled_date,status,source_channel,monthly_fee_usd,candidate_country
V0575,Harbor Dental Partners,Data Analyst,Tech,R02,2026-04-10,2026-06-11,Filled,Job Board,2290,Mexico
V0582,Harbor Dental Partners,QA Engineer,Tech,R03,2025-10-29,,Open,LinkedIn,,
V0203,Vertex Home Services,Executive Assistant,Finance & Ops,R05,2026-05-17,,Open,LinkedIn,,
V0447,Cascade Realty,QA Engineer,Tech,R01,2026-05-03,2026-06-20,Filled,Referral,2290,Colombia
V0085,Summit Logistics,Bookkeeper,Finance & Ops,R06,2025-12-31,2026-02-16,Filled,Referral,1620,Colombia
V0785,Grandview Hospitality,Full-Stack Developer,Tech,R10,2025-10-04,,Cancelled,Referral,,
V0114,ClearPath Accounting,Full-Stack Developer,Tech,R10,2025-11-21,2025-12-06,Filled,Job Board,2730,Colombia
V0364,Cascade Realty,Data Analyst,Tech,R01,2026-03-21,,Cancelled,LinkedIn,,
V0450,Nova Legal Group,Data Analyst,Tech,R01,2025-11-15,,Open,Job Board,,
V0726,Sterling Property Mgmt,Accountant,Finance & Ops,R04,2025-10-29,2025-12-23,Filled,Job Board,2280,Colombia
V0318,Ironwood Construction,Customer Support Rep,Marketing & Sales,R07,2026-03-02,,Cancelled,LinkedIn,,
V0031,TrueNorth SaaS,QA Engineer,Tech,R01,2025-11-05,,Cancelled,LinkedIn,,
V0772,Quantum IT Services,Project Manager,Finance & Ops,R05,2025-12-25,,Cancelled,Job Board,,
V0647,ClearPath Accounting,Social Media Manager,Marketing & Sales,R08,2026-06-19,,Cancelled,Referral,,
V0691,Cascade Realty,SDR / Appointment Setter,Marketing & Sales,R07,2025-10-28,,Cancelled,Internal Database,,
V0310,Ironwood Construction,Customer Support Rep,Marketing & Sales,R08,2026-06-14,,Cancelled,Referral,,
V0657,Pinnacle Auto Group,Social Media Manager,Marketing & Sales,R07,2026-06-28,,Cancelled,Job Board,,
V0644,Atlas E-commerce,Project Manager,Finance & Ops,R04,2026-05-20,,Cancelled,Referral,,
V0722,Beacon Marketing,Data Analyst,Tech,R01,2025-11-07,2026-01-15,Filled,LinkedIn,2080,Colombia
V0390,Peak Staffing Co,Project Manager,Finance & Ops,R05,2026-03-12,,Cancelled,Job Board,,
V0895,Quantum IT Services,Marketing Specialist,Marketing & Sales,R07,2026-02-26,2026-05-11,Filled,LinkedIn,1840,Mexico
V0376,Beacon Marketing,Project Manager,Finance & Ops,R05,2025-10-26,,Open,LinkedIn,,
V0283,Vertex Home Services,Customer Support Rep,Marketing & Sales,R08,2026-05-09,2026-06-09,Filled,Job Board,1150,Mexico
V0720,Atlas E-commerce,Data Analyst,Tech,R03,2026-02-10,2026-03-19,Filled,LinkedIn,1950,Peru
V0117,Maple & Main Retail,Project Manager,Finance & Ops,R11,2026-02-08,2026-04-20,Filled,Referral,2010,Argentina
V0060,Falcon Freight,Project Manager,Finance & Ops,R05,2026-02-10,,Open,LinkedIn,,
V0172,BlueOak Financial,Accountant,Finance & Ops,R04,2025-12-06,2026-01-29,Filled,Job Board,$1900 USD,Philippines
V0343,Cascade Realty,Customer Support Rep,Marketing & Sales,R12,2025-12-17,2026-01-25,Filled,LinkedIn,1320,Colombia
V0496,Brightline Health,IT Support Specialist,Tech,R10,02/10/2026,2026-04-18,Filled,Referral,1780,Argentina
V0533,Harbor Dental Partners,Bookkeeper,Finance & Ops,R11,2026-02-19,,Cancelled,LinkedIn,,
V0074,Copperfield Law,Customer Support Rep,Marketing & Sales,R07,2025-12-01,2026-01-29,Filled,Job Board,1310,Colombia
V0554,redwood media,Project Manager,Finance & Ops,R04,2026-03-11,2026-04-04,Filled,Job Board,2190,Argentina
V0671,Quantum IT Services,  Full-Stack Developer ,Tech,R02,2026-06-22,,Cancelled,Internal Database,,
V0572,Nova Legal Group,Social Media Manager,Marketing & Sales,R09,2026-05-11,,Open,Referral,,
V0274,Lakeside Insurance,SDR / Appointment Setter,Marketing & Sales,R09,2026-03-14,2026-05-10,Filled,LinkedIn,1520,Argentina
V0129,Summit Logistics,  Customer Support Rep ,Marketing & Sales,R09,2026-05-26,,Cancelled,LinkedIn,,
V0898,Riverbend Clinics,Bookkeeper,Finance & Ops,R05,2026-05-13,,Cancelled,Internal Database,,
V0362,Grandview Hospitality,Executive Assistant,Finance & Ops,R11,2026-02-02,2026-03-11,Filled,Job Board,1780,Brazil
V0329,Lakeside Insurance,Marketing Specialist,Marketing & Sales,R07,2026-02-14,2026-04-19,Filled,Internal Database,2030,Colombia
V0626,Vertex Home Services,Social Media Manager,Marketing & Sales,R09,2025-11-20,2025-12-13,Filled,Referral,1660,Mexico
V0449,ClearPath Accounting,QA Engineer,Tech,R10,2025-10-21,,Open,LinkedIn,,
V0506,TrueNorth SaaS,IT Support Specialist,Tech,R10,2026-03-12,2026-05-02,Filled,LinkedIn,1770,Brazil
V0328,Quantum IT Services,IT Support Specialist,Tech,R01,2026-01-14,2026-02-16,Filled,LinkedIn,1720,Argentina
V0813,Pinnacle Auto Group,IT Support Specialist,Tech,R02,2026-03-23,2026-04-19,Filled,Job Board,1990,Mexico
V0706,Harbor Dental Partners,Marketing Specialist,Marketing & Sales,R12,2025-12-17,2026-01-28,Filled,Job Board,1620,Venezuela
V0288,Grandview Hospitality,Social Media Manager,Marketing & Sales,R09,2026-06-01,,Cancelled,Referral,,
V0725,ClearPath Accounting,Social Media Manager,Marketing & Sales,R07,2026-06-04,,Cancelled,Job Board,,
V0132,Redwood Media,Executive Assistant,Finance & Ops,R06,2025-10-17,2025-11-28,Filled,LinkedIn,1470,Philippines
V0675,BlueOak Financial,Full-Stack Developer,Tech,R01,2025-10-08,2025-11-29,Filled,Internal Database,2790,Argentina
V0070,Riverbend Clinics,Customer Support Rep,Marketing & Sales,R07,2025-10-21,,Open,LinkedIn,,
V0425,Lakeside Insurance,Executive Assistant,Finance & Ops,R11,2026-02-18,,Open,LinkedIn,,
V0263,Maple & Main Retail,Data Analyst,Tech,R02,2026-02-01,2026-04-11,Filled,Job Board,2320,Peru
V0290,Grandview Hospitality,Full-Stack Developer,Tech,R02,2026-03-03,2026-05-03,Filled,LinkedIn,3020,Brazil
V0480,Maple & Main Retail,Customer Support Rep,Marketing & Sales,R12,2026-01-23,2026-03-12,Filled,LinkedIn,1490,Brazil
V0268,Grandview Hospitality,SDR / Appointment Setter,Marketing & Sales,R12,2026-03-13,2026-04-17,Filled,Referral,$1380 USD,Philippines
V0588,Nova Legal Group,Data Analyst,Tech,R02,2026-06-01,2026-07-03,Filled,Job Board,1960,Venezuela
V0900,Ironwood Construction,Customer Support Rep,Marketing & Sales,R12,2026-04-03,,Open,Job Board,,
V0046,Redwood Media,Accountant,Finance & Ops,R06,2026-03-18,,Open,Job Board,,
V0705,Riverbend Clinics,Marketing Specialist,Marketing & Sales,R09,2026-02-21,,Open,LinkedIn,,
V0868,Summit Logistics,QA Engineer,Tech,R10,2026-03-11,,Cancelled,LinkedIn,,
V0736,Quantum IT Services,Marketing Specialist,Marketing & Sales,R09,2025-12-28,2026-03-03,Filled,LinkedIn,1690,Mexico
V0830,Vertex Home Services,Full-Stack Developer,Tech,R03,2025-11-18,2026-01-29,Filled,LinkedIn,3020,Venezuela
V0178,Harbor Dental Partners,Marketing Specialist,Marketing & Sales,R12,2026-05-14,,Cancelled,Job Board,,
V0526,Grandview Hospitality,SDR / Appointment Setter,Marketing & Sales,R08,2026-05-03,2026-05-19,Filled,Referral,1310,Philippines
V0448,Quantum IT Services,Marketing Specialist,Marketing & Sales,R09,2026-01-11,,Open,Referral,,
V0498,Atlas E-commerce,Full-Stack Developer,Tech,R03,2026-02-26,2026-05-05,Filled,Job Board,2710,Venezuela
V0110,Cascade Realty,Accountant,Finance & Ops,R05,2026-04-16,2026-06-09,Filled,Internal Database,1630,Philippines
V0396,Harbor Dental Partners,Bookkeeper,Finance & Ops,R04,2026-04-11,,Open,Referral,,
V0437,Atlas E-commerce,Full-Stack Developer,Tech,R10,2025-12-06,,Cancelled,LinkedIn,,
V0441,Beacon Marketing,SDR / Appointment Setter,Marketing & Sales,R12,2026-03-22,,Open,LinkedIn,,
V0140,ClearPath Accounting,Accountant,Finance & Ops,R11,2025-11-25,,Cancelled,Job Board,,
V0645,Nova Legal Group,Project Manager,Finance & Ops,R05,2025-10-13,2025-11-19,Filled,LinkedIn,2810,Venezuela
V0380,Redwood Media,SDR / Appointment Setter,Marketing & Sales,R12,2025-10-10,,Open,Internal Database,,
V0049,Redwood Media,IT Support Specialist,Tech,R01,2026-02-08,,Cancelled,Referral,,
V0557,Atlas E-commerce,Marketing Specialist,Marketing & Sales,R07,2026-01-26,,Cancelled,LinkedIn,,
V0765,Vertex Home Services,SDR / Appointment Setter,Marketing & Sales,R12,2026-02-27,,Cancelled,Internal Database,,
V0541,Grandview Hospitality,Customer Support Rep,Marketing & Sales,,2026-04-21,2026-05-11,Filled,LinkedIn,$1360 USD,Colombia
V0779,Copperfield Law,IT Support Specialist,Tech,R03,2026-05-17,2026-06-22,Filled,LinkedIn,1430,Peru
V0718,Everline Solar,Executive Assistant,Finance & Ops,R04,2026-05-28,,Cancelled,Referral,,
V0096,Maple & Main Retail,Executive Assistant,Finance & Ops,R04,2025-10-14,2025-10-28,Filled,Job Board,1600,Philippines
V0732,Quantum IT Services,Full-Stack Developer,Tech,R02,2025-10-19,2025-11-05,Filled,Job Board,2420,Mexico
V0084,Vertex Home Services,Social Media Manager,Marketing & Sales,R08,2026-01-03,2026-02-20,Filled,LinkedIn,1590,Colombia
V0617,Nova Legal Group,Project Manager,Finance & Ops,R05,04/21/2026,2026-06-03,Filled,LinkedIn,2900,Mexico
V0589,Beacon Marketing,Bookkeeper,Finance & Ops,R04,2025-10-31,2025-11-25,Filled,LinkedIn,1390,Mexico
V0522,TrueNorth SaaS,Marketing Specialist,Marketing & Sales,R07,2025-12-15,2026-02-16,Filled,Job Board,2150,Peru
V0241,Beacon Marketing,Data Analyst,Tech,R10,2025-12-20,,Cancelled,Job Board,,
V0216,Pinnacle Auto Group,Customer Support Rep,Marketing & Sales,R09,2026-04-26,2026-05-28,Filled,Referral,1440,Venezuela
V0599,Redwood Media,Customer Support Rep,Marketing & Sales,R09,2025-11-01,2026-01-05,Filled,Job Board,1570,Philippines
V0787,Lakeside Insurance,Executive Assistant,Finance & Ops,R11,2026-06-10,,Cancelled,LinkedIn,,
V0869,Cascade Realty,Data Analyst,Tech,R02,2026-01-26,2026-04-07,Filled,Internal Database,2080,Venezuela
V0543,Ironwood Construction,Marketing Specialist,Marketing & Sales,R09,2025-10-03,2025-10-24,Filled,LinkedIn,1850,Peru
V0473,Atlas E-commerce,Marketing Specialist,Marketing & Sales,R12,2026-03-14,2026-04-26,Filled,Internal Database,1930,Argentina
V0400,Grandview Hospitality,Social Media Manager,Marketing & Sales,R09,2026-02-13,2026-04-16,Filled,Job Board,1360,Peru
V0152,Lakeside Insurance,Data Analyst,Tech,R02,2025-12-19,,Cancelled,Referral,,
V0512,BlueOak Financial,SDR / Appointment Setter,Marketing & Sales,R08,2026-05-30,,Cancelled,Referral,,
V0173,Brightline Health,Social Media Manager,Marketing & Sales,R07,2026-06-27,,Cancelled,LinkedIn,,
V0648,Pinnacle Auto Group,Customer Support Rep,Marketing & Sales,R08,2025-12-16,,Open,LinkedIn,,
V0368,BlueOak Financial,Bookkeeper,Finance & Ops,R06,2026-04-20,2026-05-11,Filled,Job Board,1460,Mexico
V0054,Ironwood Construction,Full-Stack Developer,Tech,R03,02/23/2026,2026-04-06,Filled,LinkedIn,3450,Brazil
V0417,Beacon Marketing,Accountant,Finance & Ops,R05,2025-11-15,2026-01-18,Filled,Job Board,2330,Brazil
V0607,Brightline Health,Executive Assistant,Finance & Ops,R06,2025-10-04,,Open,Job Board,,
V0608,Lakeside Insurance,Social Media Manager,Marketing & Sales,R08,2026-02-19,2026-03-22,Filled,LinkedIn,1580,Mexico
V0717,Quantum IT Services,Full-Stack Developer,Tech,R02,2025-11-14,2025-12-19,Filled,LinkedIn,3240,Colombia
V0687,BlueOak Financial,Customer Support Rep,Marketing & Sales,R09,2026-04-13,2026-05-06,Filled,Internal Database,1430,Mexico
V0014,Solstice Wellness,Customer Support Rep,Marketing & Sales,R09,2026-02-14,2026-04-25,Filled,Internal Database,1320,Colombia
V0244,Ironwood Construction,QA Engineer,Tech,R01,2026-02-26,2026-03-23,Filled,Referral,2250,Argentina
V0612,Falcon Freight,Accountant,Finance & Ops,R04,2026-05-02,,Open,Job Board,,
V0169,Falcon Freight,Executive Assistant,Finance & Ops,R11,2026-04-17,,Open,Job Board,,
V0305,Peak Staffing Co,Social Media Manager,Marketing & Sales,R12,2025-11-05,,Cancelled,LinkedIn,,
V0293,Everline Solar,Bookkeeper,Finance & Ops,R11,2026-04-11,2026-06-10,Filled,Job Board,1650,Colombia
V0577,Pinnacle Auto Group,Marketing Specialist,Marketing & Sales,R09,2026-02-17,,Cancelled,LinkedIn,,
V0733,Sterling Property Mgmt,Data Analyst,Tech,R01,2025-12-28,,Open,Job Board,,
V0563,Harbor Dental Partners,Social Media Manager,Marketing & Sales,R07,2026-05-17,2026-06-16,Filled,Job Board,1470,Philippines
V0227,RIVERBEND CLINICS,SDR / Appointment Setter,Marketing & Sales,R08,2026-05-22,,Cancelled,LinkedIn,,
V0456,TrueNorth SaaS,Social Media Manager,Marketing & Sales,R08,2025-10-31,2026-01-12,Filled,Job Board,1850,Philippines
V0792,Ironwood Construction,QA Engineer,Tech,R03,2025-10-28,2025-12-24,Filled,LinkedIn,2310,Colombia
V0581,Nova Legal Group,Executive Assistant,Finance & Ops,R06,06/13/2026,,Cancelled,Job Board,,
V0237,Ironwood Construction,SDR / Appointment Setter,Marketing & Sales,R12,2026-04-13,,Open,LinkedIn,,
V0882,Sterling Property Mgmt,Customer Support Rep,Marketing & Sales,R12,2025-12-19,2026-01-10,Filled,Referral,1420,Argentina
V0299,Nova Legal Group,QA Engineer,Tech,R02,2025-11-02,2026-01-14,Filled,LinkedIn,2140,Philippines
V0080,Quantum IT Services,IT Support Specialist,Tech,R02,2025-11-13,,Cancelled,Referral,,
V0039,Solstice Wellness,Executive Assistant,Finance & Ops,R04,2025-10-23,2025-12-07,Filled,Referral,1280,Mexico
V0158,Riverbend Clinics,Social Media Manager,Marketing & Sales,R09,2026-05-02,2026-06-24,Filled,Referral,1310,Mexico
V0354,Redwood Media,Social Media Manager,Marketing & Sales,R08,2025-10-06,2025-11-20,Filled,LinkedIn,1510,Mexico
V0649,Vertex Home Services,Social Media Manager,Marketing & Sales,R09,2026-05-17,,Cancelled,LinkedIn,,
V0369,Cascade Realty,Marketing Specialist,Marketing & Sales,R08,2025-11-25,2026-01-16,Filled,Referral,1810,Venezuela
V0651,Grandview Hospitality,Marketing Specialist,Marketing & Sales,R12,2026-06-01,2026-06-13,Filled,LinkedIn,1560,Mexico
V0389,Pinnacle Auto Group,Customer Support Rep,Marketing & Sales,R07,2026-04-21,2026-05-23,Filled,Job Board,1260,Brazil
V0712,ClearPath Accounting,Data Analyst,Tech,R03,2025-11-19,,Open,LinkedIn,,
V0730,CASCADE REALTY,Project Manager,Finance & Ops,R04,2025-10-09,2025-10-26,Filled,LinkedIn,2300,Venezuela
V0093,blueoak financial,IT Support Specialist,Tech,R01,2026-05-06,2026-06-21,Filled,LinkedIn,1790,Philippines
V0165,Riverbend Clinics,Data Analyst,Tech,R03,2026-04-07,2026-04-30,Filled,Referral,2500,Peru
V0534,Solstice Wellness,SDR / Appointment Setter,Marketing & Sales,R09,2026-06-05,,Open,LinkedIn,,
V0421,Grandview Hospitality,IT Support Specialist,Tech,R10,2026-04-09,2026-06-20,Filled,LinkedIn,1510,Peru
V0127,ATLAS E-COMMERCE,Accountant,Finance & Ops,R06,2025-10-08,2025-11-22,Filled,Job Board,1960,Peru
V0555,Harbor Dental Partners,Executive Assistant,Finance & Ops,R06,2026-01-04,2026-02-28,Filled,Referral,$1480 USD,Argentina
V0690,Ironwood Construction,Bookkeeper,Finance & Ops,R04,2025-11-15,2025-12-13,Filled,LinkedIn,1610,Philippines
V0678,Everline Solar,Marketing Specialist,Marketing & Sales,R09,2026-05-17,2026-06-08,Filled,Referral,2070,Philippines
V0654,Nova Legal Group,Executive Assistant,Finance & Ops,R11,2025-12-30,,Cancelled,Job Board,,
V0304,Sterling Property Mgmt,IT Support Specialist,Tech,R01,2026-01-01,,Open,Job Board,,
V0021,Peak Staffing Co,IT Support Specialist,Tech,R01,2026-01-24,2026-03-06,Filled,LinkedIn,1750,Peru
V0667,ClearPath Accounting,Marketing Specialist,Marketing & Sales,R08,2026-04-18,2026-06-08,Filled,Job Board,2110,Brazil
V0264,Everline Solar,Data Analyst,Tech,R01,2026-02-03,2026-03-14,Filled,LinkedIn,2060,Philippines
V0342,Redwood Media,QA Engineer,Tech,R01,2025-12-13,2026-01-15,Filled,Job Board,1810,Venezuela
V0546,Quantum IT Services,Marketing Specialist,Marketing & Sales,R12,2025-10-15,2025-11-24,Filled,LinkedIn,$1550 USD,Brazil
V0681,Everline Solar,Data Analyst,Tech,R10,2025-11-03,2025-12-06,Filled,LinkedIn,2240,Argentina
V0079,Brightline Health,Bookkeeper,Finance & Ops,R06,2026-02-10,2026-03-29,Filled,Referral,1660,Peru
V0707,Beacon Marketing,Data Analyst,Tech,R01,2026-03-25,,Open,Job Board,,
V0835,Vertex Home Services,Executive Assistant,Finance & Ops,R11,2026-05-11,2026-05-31,Filled,Job Board,1700,Brazil
V0008,Summit Logistics,Customer Support Rep,Marketing & Sales,R09,2026-01-21,,Open,Job Board,,
V0419,Summit Logistics,Marketing Specialist,Marketing & Sales,R08,2025-10-15,2025-11-03,Filled,Referral,2080,Mexico
V0357,Peak Staffing Co,QA Engineer,Tech,R01,2026-02-08,,Open,Job Board,,
V0728,Summit Logistics,Full-Stack Developer,Tech,R10,2026-04-02,2026-05-08,Filled,LinkedIn,3100,Mexico
V0194,Sterling Property Mgmt,Data Analyst,Tech,R03,2026-03-19,2026-05-21,Filled,Internal Database,2160,Brazil
V0250,Atlas E-commerce,Social Media Manager,Marketing & Sales,R07,2026-01-29,,Cancelled,Job Board,,
V0797,BlueOak Financial,IT Support Specialist,Tech,R01,2026-06-27,,Cancelled,Internal Database,,
V0209,Everline Solar,Customer Support Rep,Marketing & Sales,R12,2025-11-07,2025-12-05,Filled,Referral,1360,Philippines
V0081,Atlas E-commerce,Social Media Manager,Marketing & Sales,R12,2026-06-09,,Open,Job Board,,
V0296,Nova Legal Group,QA Engineer,Tech,R10,2026-05-09,2026-06-03,Filled,LinkedIn,2210,Colombia
V0851,Falcon Freight,Social Media Manager,Marketing & Sales,R12,2026-03-17,,Cancelled,Referral,,
V0873,Redwood Media,Customer Support Rep,Marketing & Sales,R09,2025-11-18,2025-12-15,Filled,Referral,1440,Venezuela
V0894,Beacon Marketing,Accountant,Finance & Ops,R06,2025-10-27,2026-01-02,Filled,Job Board,2100,Venezuela
V0003,Atlas E-commerce,Bookkeeper,Finance & Ops,R05,2026-02-20,2026-03-17,Filled,LinkedIn,1760,Colombia
V0215,Ironwood Construction,Marketing Specialist,Marketing & Sales,R07,2026-05-02,2026-06-20,Filled,Referral,1940,Brazil
V0529,BlueOak Financial,Project Manager,Finance & Ops,,2026-04-14,2026-05-08,Filled,LinkedIn,2670,Venezuela
V0807,Pinnacle Auto Group,QA Engineer,Tech,R01,2026-05-14,,Cancelled,LinkedIn,,
V0067,Harbor Dental Partners,Customer Support Rep,Marketing & Sales,R07,2025-10-14,,Cancelled,LinkedIn,,
V0100,MAPLE & MAIN RETAIL,Executive Assistant,Finance & Ops,R04,2026-03-15,,Open,Internal Database,,
V0050,Copperfield Law,Customer Support Rep,Marketing & Sales,R09,2026-03-19,,Cancelled,LinkedIn,,
V0832,TrueNorth SaaS,SDR / Appointment Setter,Marketing & Sales,R08,2026-05-21,,Open,Referral,,
V0405,Grandview Hospitality,Full-Stack Developer,Tech,R03,2025-11-13,,Open,LinkedIn,,
V0387,Brightline Health,Marketing Specialist,Marketing & Sales,R08,2026-01-12,2026-03-06,Filled,LinkedIn,1620,Colombia
V0631,BlueOak Financial,Bookkeeper,Finance & Ops,R05,2026-05-18,2026-06-24,Filled,LinkedIn,1380,Philippines
V0350,Lakeside Insurance,Customer Support Rep,Marketing & Sales,R12,2026-06-14,,Cancelled,LinkedIn,,
V0752,TrueNorth SaaS,IT Support Specialist,Tech,R10,2025-11-14,,Open,Referral,,
V0595,Copperfield Law,SDR / Appointment Setter,Marketing & Sales,R09,2025-12-18,2026-01-13,Filled,Job Board,1580,Colombia
V0179,Cascade Realty,Marketing Specialist,Marketing & Sales,R09,2025-12-10,2026-02-07,Filled,Job Board,1840,Peru
V0438,brightline health,SDR / Appointment Setter,Marketing & Sales,R09,2026-01-11,,Open,Job Board,,
V0841,Nova Legal Group,IT Support Specialist,Tech,R01,2025-11-27,2026-01-10,Filled,LinkedIn,1900,Venezuela
V0422,TrueNorth SaaS,QA Engineer,Tech,R01,2026-02-10,2026-03-14,Filled,Job Board,2110,Philippines
V0616,Beacon Marketing,Accountant,Finance & Ops,R11,06/14/2026,,Open,Referral,,
V0161,Cascade Realty,SDR / Appointment Setter,Marketing & Sales,R09,2026-01-08,2026-02-07,Filled,LinkedIn,1770,Mexico
V0680,ClearPath Accounting,QA Engineer,Tech,R03,2026-02-10,2026-04-05,Filled,Referral,2360,Philippines
V0078,Harbor Dental Partners,IT Support Specialist,Tech,R10,2026-05-26,,Cancelled,Referral,,
V0184,BlueOak Financial,Project Manager,Finance & Ops,R04,2026-05-18,,Open,Referral,,
V0223,Redwood Media,Full-Stack Developer,Tech,R02,2026-05-09,,Open,LinkedIn,,
V0508,Beacon Marketing,Social Media Manager,Marketing & Sales,R09,2026-05-12,,Open,Referral,,
V0146,Solstice Wellness,Marketing Specialist,Marketing & Sales,R07,2026-03-18,2026-05-23,Filled,LinkedIn,2110,Philippines
V0060,Falcon Freight,Project Manager,Finance & Ops,R05,2026-02-10,,Open,LinkedIn,,
V0033,ClearPath Accounting,Bookkeeper,Finance & Ops,R06,2026-01-31,2026-03-22,Filled,Internal Database,1700,Venezuela
V0500,Brightline Health,Customer Support Rep,Marketing & Sales,R09,12/13/2025,,Cancelled,Referral,,
V0468,Beacon Marketing,  Executive Assistant ,Finance & Ops,R06,2026-06-25,,Cancelled,LinkedIn,,
V0397,Harbor Dental Partners,Data Analyst,Tech,R01,2026-02-28,2026-03-21,Filled,Internal Database,2570,Argentina
V0696,Grandview Hospitality,Accountant,Finance & Ops,R11,2026-05-22,,Cancelled,Job Board,,
V0142,Falcon Freight,SDR / Appointment Setter,Marketing & Sales,R12,2026-02-28,2026-03-26,Filled,Job Board,1460,Philippines
V0822,Redwood Media,Accountant,Finance & Ops,R06,2026-03-30,2026-04-16,Filled,LinkedIn,1620,Mexico
V0118,Quantum IT Services,Full-Stack Developer,Tech,R03,2026-05-15,,Open,LinkedIn,,
V0472,Cascade Realty,Marketing Specialist,Marketing & Sales,R08,2026-06-05,,Cancelled,Referral,,
V0811,Sterling Property Mgmt,Project Manager,Finance & Ops,R05,2026-04-07,2026-05-02,Filled,Referral,2610,Venezuela
V0629,BlueOak Financial,Accountant,Finance & Ops,R06,10/16/2025,2025-12-17,Filled,LinkedIn,1870,Brazil
V0180,BlueOak Financial,SDR / Appointment Setter,Marketing & Sales,R09,2025-12-03,2026-02-10,Filled,Job Board,1300,Peru
V0738,Falcon Freight,QA Engineer,Tech,R10,2025-10-09,2025-11-01,Filled,Referral,1810,Brazil
V0240,Maple & Main Retail,SDR / Appointment Setter,Marketing & Sales,R08,2026-01-24,2026-04-06,Filled,Job Board,1450,Colombia
V0880,redwood media,  Accountant ,Finance & Ops,R06,2026-06-01,,Cancelled,Job Board,,
V0840,Solstice Wellness,Full-Stack Developer,Tech,R03,2026-04-27,,Cancelled,Job Board,,
V0462,Sterling Property Mgmt,Executive Assistant,Finance & Ops,R05,2025-10-26,2025-12-07,Filled,Referral,1430,Colombia
V0306,TrueNorth SaaS,QA Engineer,Tech,R10,2026-05-05,,Cancelled,Referral,,
V0360,Nova Legal Group,Full-Stack Developer,Tech,R01,2026-06-15,2026-07-02,Filled,Internal Database,3280,Venezuela
V0872,Peak Staffing Co,Executive Assistant,Finance & Ops,R04,2026-01-17,2026-03-23,Filled,Job Board,1540,Colombia
V0028,Sterling Property Mgmt,IT Support Specialist,Tech,R01,2026-04-24,2026-06-24,Filled,LinkedIn,$1400 USD,Argentina
V0693,Grandview Hospitality,  Accountant ,Finance & Ops,R05,2026-05-11,,Cancelled,Referral,,
V0770,Harbor Dental Partners,Social Media Manager,Marketing & Sales,R12,2026-06-29,,Cancelled,Job Board,,
V0115,Maple & Main Retail,Executive Assistant,Finance & Ops,R06,2026-04-02,2026-06-05,Filled,Job Board,1350,Peru
V0120,Brightline Health,Executive Assistant,Finance & Ops,R04,2026-03-01,,Open,Referral,,
